year,catch,arsabio,arsarendi,arsarendistand_grh,arsarendistand_Kgh,arsa_std_nor,arsa_CV_std_nor,isunep_abun,CV_isunep_abun,isunep_abun_nor,CV_isunep_abun_nor,isunep_bio1,isunep_bio1_nor,isunep_bio2,isunep_bio2_nor,LPUE_std,CV_LPUE_std,LPUE_10%nep,Effort_10%nep,Total_Effort
1987,193,,,,,,,,,,,,,,,,,,,
1988,138.67,,,,,,,,,,,,,,,,,,,
1989,174.5,,,,,,,,,,,,,,,,,,,
1990,220.1,,,,,,,,,,,,,,,,,,,
1991,225.401,,,,,,,,,,,,,,,,,,,
1992,242.76,,,,,,,,,,,,,,,,,,,
1993,159.7,26.60305849,0.95,987.6871353,0.987687135,0.779873686,0.408613595,,,,,,,,,,,,,
1994,107.618,28.15985572,0.76,,,,,,,,,,,,,,,,,
1995,130.623,,,,,,,,,,,,,,,98.6,,98.6,915,27823
1996,48.522,24.61585482,0.93,586.1900339,0.586190034,0.462853232,0.482658357,,,,,,,,,99.4,,99.4,1079,32194
1997,97.076,9.32845065,0.38,367.0689716,0.367068972,0.289836146,0.587025817,,,,,,,,,88.2,,88.2,458,31951
1998,85.315,9.301282954,0.3,191.8494151,0.191849415,0.151483506,0.539542712,,,,,,,,,79.2,,79.2,943,32573
1999,120.217,,0.41,586.1042808,0.586104281,0.462785522,0.560131935,,,,,,,,,62.2,,62.2,811,32824
2000,128.862,10.1402522,0.37,544.9644741,0.544964474,0.4303017,0.437931314,,,,,,,,,66.1,,66.1,1259,32731
2001,178.426,12.33117842,0.44,608.8605925,0.608860592,0.480753811,0.419212936,,,,,,,,,60.6,,60.6,1484,29875
2002,261.836,10.87156021,0.47,849.6977373,0.849697737,0.670917827,0.50639201,,,,,,,,,67.7,,67.7,1924,30416
2003,306.517,,,,,,,,,,,,,,,74,,74,2827,31760
2004,147.02095,4.24023756,0.15,395.8708966,0.395870897,0.312578027,0.585371334,,,,,,,,,78.4,,78.4,2840,32790
2005,246.179,17.42992917,0.64,941.9805597,0.94198056,0.743783963,0.506077181,,,,,,,,,42.5,,42.5,2206,30901
2006,245.3679,12.35095828,0.42,683.4708187,0.683470819,0.539665738,0.456983066,,,,,,,,,52.7,,52.7,4336,33203
2007,214.4429,10.54199402,0.37,599.4217884,0.599421788,0.47330097,0.443864422,,,,,,,,,63.5,,63.5,3555,26946
2008,119.7816,23.93066191,0.85,1079.51414,1.07951414,0.85237991,0.45389195,,,,,,,,,58.8,,58.8,3105,25366
2009,119.2902,13.13746174,0.37,427.0744271,0.427074427,0.337216205,0.536699816,,,,,,,,,59.5,,59.5,1150,20602
2010,107.3343,,,1366.037181,1.366037181,1.078617321,0.59204151,,,,,,,,,50,,50,1653,21401
2011,95.9099,6.974094402,0.23,595.2162944,0.595216294,0.469980329,0.609051326,,,,,,,,,45.6,,45.6,1603,21352
2012,116,5.03839559,0.18,324.8392719,0.324839272,0.256491749,0.668818865,,,,,,,,,54.2,,54.2,1126,19986
2013,26.717,23.15520845,0.79,462.0233557,0.462023356,0.364811735,0.524287316,,,,,,,,,58,,58,1380,20402
2014,14.885,48.65441288,1.92,1530.447334,1.530447334,1.208434899,0.522497164,,,,,,,,,92.1,,92.1,262,23099
2015,24.641,33.1411519,1.26,2238.214946,2.238214946,1.767285285,0.491500099,79.9,9.74,1.07553659,0.815267431,2460.416524,1.15895911,2655.451593,1.218740363,40.1,,40.1,293,
2016,123.721,68.01512809,2.73,3978.387492,3.978387492,3.141318346,0.505624916,100.3,12.78,1.350680119,1.069724617,2327.798345,1.0964904,3104.249666,1.424719763,58.8,,58.8,294,
2017,139.516,40.93301669,1.67,1893.520816,1.893520816,1.495116222,0.587418493,77.3,20.81,1.040134072,1.741859881,1806.236732,0.850813062,2195.234989,1.007520338,64.6,,64.6,443,22458
2018,75.551,9.263278083,0.38,602.3305398,0.60233054,0.475597709,0.40700412,100.2,16.97,1.348526353,1.420440278,2354.634439,1.109131323,2583.590724,1.185759253,45.5,,45.5,535,21583
2019,64.77,32.03707351,1.34,2566.986046,2.566986046,2.026881589,0.547934446,109.9,11.28,1.479811815,0.944170085,3567.027797,1.680219312,2567.990795,1.178599543,47.9,,47.9,658,20748
2020,62.869,165.4583994,6.16,6916.149788,6.916149788,5.460963332,0.448729722,,,0,0,,,,,73.7,,73.7,675,20553
2021,49.276,,,,,,,66.2,12.02,0.891631948,1.006110321,2601.157925,1.225254197,1880.834586,0.863223804,59,,59,625,19991
2022,44.415,6.716924447,0.25,328.8110052,0.328811005,0.259627813,0.68890839,53.1,10.84,0.714915498,0.907340755,1627.815914,0.766769392,1787.171591,0.820236437,48.7,,48.7,611,20443
2023,32.863,17.9257669,0.67,768.8194189,0.768819419,0.607056641,0.452383234,54.2,8.03,0.729493798,0.672135264,1591.872729,0.749838648,1791.146227,0.822060628,54.4,,54.4,386,18853
2024,32.047,102.6139139,4.08,3039.63948,3.03963948,2.40008679,0.430120531,63.7,6.09,0.857440923,0.509751402,1778.028117,0.837525623,2108.274456,0.967609119,47.3,,47.3,347,19671
2025,,,,,,,,38,10.91,0.511828883,0.913199967,1114.548424,0.524998933,1114.548424,0.511530752,45.7,,45.7,399,19240
